CustomerID,Recency,Frequency,Monetary,AOV,Total_Quantity,Days_Since_First,R_Score,F_Score,M_Score,RFM_Score,RFM_Value,Customer_Segment,Cluster,Cluster_Name,Recency_Category,Frequency_Category,Monetary_Category,Avg_Order_Value,Customer_Lifetime,Purchase_Intensity
10000.0,294,1,50.54,50.54,2,294,1,1,1,111,3,Lost Customers,3,At-Risk Customers,Old,Low,Low_Value,50.54,324,1.126543209876543
10001.0,32,6,783.3699999999999,130.56166666666664,31,283,4,4,5,445,13,Champions,0,Regular Customers,Recent,High,High_Value,130.56166666666664,212,10.330188679245284
10002.0,80,8,682.29,85.28625,27,272,2,5,4,254,11,Loyal Customers,1,VIP Customers,Recent,High,High_Value,85.28625,320,9.125
10003.0,54,7,530.67,75.80999999999999,21,325,3,5,3,353,11,Loyal Customers,0,Regular Customers,Recent,High,High_Value,75.80999999999999,264,9.678030303030303
10004.0,82,8,732.8299999999999,91.60374999999999,29,362,2,5,5,255,12,Loyal Customers,1,VIP Customers,Recent,High,High_Value,91.60374999999999,322,9.068322981366459
10005.0,81,5,505.4,101.08,20,315,2,3,3,233,8,At Risk,0,Regular Customers,Recent,Medium,High_Value,101.08,231,7.900432900432901
10006.0,124,4,303.24,75.81,12,346,1,2,2,122,5,Cannot Lose Them,2,Occasional Customers,Moderate,Medium,Medium_Value,75.81,244,5.9836065573770485
10007.0,1,5,429.59,85.91799999999999,17,335,5,3,3,533,11,Loyal Customers,0,Regular Customers,Very_Recent,Medium,Medium_Value,85.91799999999999,151,12.086092715231787
10008.0,2,6,631.75,105.29166666666667,25,179,5,4,4,544,13,Champions,0,Regular Customers,Very_Recent,High,High_Value,105.29166666666667,182,12.032967032967033
10009.0,78,6,783.37,130.56166666666667,31,279,2,4,5,245,11,Loyal Customers,0,Regular Customers,Recent,High,High_Value,130.56166666666667,258,8.488372093023257
10010.0,1,5,404.32,80.864,16,337,5,3,2,532,10,Potential Loyalists,0,Regular Customers,Very_Recent,Medium,Medium_Value,80.864,151,12.086092715231787
10011.0,63,4,480.13,120.0325,19,248,3,2,3,323,8,At Risk,0,Regular Customers,Recent,Medium,Medium_Value,120.0325,183,7.978142076502731
10012.0,34,4,505.4,126.35,20,202,4,2,3,423,9,Potential Loyalists,0,Regular Customers,Recent,Medium,High_Value,126.35,154,9.480519480519481
10013.0,32,3,404.32,134.77333333333334,16,239,4,1,2,412,7,At Risk,2,Occasional Customers,Recent,Medium,Medium_Value,134.77333333333334,122,8.975409836065573
